Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
1999,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,4.3967
2000,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,11.0636
2001,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,8.8247
2002,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,4.994
2003,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,9.7977
2004,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,9.8216
2005,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,13.8495
2006,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,14.0975
2007,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,15.8115
2008,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,17.8034
2009,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-0.0651
2010,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,3.99
2011,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-4.418
2012,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,0.7699
2013,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,2.1023
2014,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-2.5344
2015,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,1.9742
2016,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,8.7168
2017,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,8.2963
2018,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,5.2998
2019,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-1.3642
2020,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,9.7033
1960,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,1.0036
1961,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,3.4475
